date,time
2017-10-09,1015
2017-10-10,840
2017-10-11,740
2017-10-12,740
2017-10-13,750
2017-10-14,830
2017-10-15,750
2017-10-16,825
2017-10-17,800
2017-10-18,805
2017-10-19,745
2017-10-20,1038
2017-10-21,1000
2017-10-22,930
2017-10-23,755
2017-10-24,935
2017-10-25,845
2017-10-26,900
2017-10-27,1000
2017-10-28,1000
2017-10-29,910
2017-10-30,1010
2017-11-01,1000
2017-11-02,1000
2017-11-03,850
2017-11-06,930
2017-11-07,1000
2017-11-09,1000
2017-11-10,1030
2017-11-11,910
2017-11-12,1000
2017-11-14,1015
2017-11-15,910
2017-11-19,910
2017-11-20,1030
2017-11-21,1115
2017-11-22,630
2017-11-23,830
2017-11-24,1100
2017-11-25,1030
2017-11-26,700
2017-11-27,1110
2017-11-28,1040
2017-11-29,920
2017-12-01,1100
2017-12-02,1100
2017-12-03,1045
2017-12-04,1320
2017-12-07,1330
2017-12-08,1000
2017-12-10,1100
2017-12-11,1300
2017-12-12,745
2017-12-13,750
2017-12-14,820
2017-12-15,800
2017-12-16,805
2017-12-17,800
2017-12-18,850
2017-12-19,805
2017-12-20,800
2017-12-21,845
2017-12-22,835
2017-12-23,850
2017-12-24,755
2017-12-25,745
2017-12-26,800
2017-12-27,740
2017-12-28,805
2017-12-29,825
2017-12-30,800
2017-12-31,825
2018-01-01,940
2018-01-02,810
2018-01-03,815
2018-01-04,810
2018-01-05,845
2018-01-06,855
2018-01-07,740
2018-01-08,850
2018-01-09,805
2018-01-10,740
2018-01-11,740
2018-01-12,750
2018-01-13,730
2018-01-14,745
2018-01-15,750
2018-01-16,800
2018-01-17,750
2018-01-18,750
2018-01-19,750
2018-01-20,750
2018-01-21,755
2018-01-22,700
2018-01-23,820
2018-01-24,740
2018-01-25,740
2018-01-26,855
2018-01-27,800
2018-01-28,750
2018-01-29,830
2018-01-30,745
2018-01-31,855
2018-02-01,740
2018-02-02,740
2018-02-03,1100
2018-02-04,805
2018-02-05,825
2018-02-06,845
2018-02-07,750
2018-02-08,725
2018-02-09,750
2018-02-10,815
2018-02-11,810
2018-02-12,830
2018-02-13,755
2018-02-14,850
2018-02-15,720
2018-02-16,745
2018-02-17,745
2018-02-18,755
2018-02-19,940
2018-02-20,735
2018-02-21,915
2018-02-22,1100
2018-02-23,745
2018-02-24,1100
2018-02-25,855
2018-02-26,735
2018-02-27,750
2018-02-28,820
2018-03-01,720
2018-03-02,835
2018-03-03,825
2018-03-04,825
2018-03-05,845
2018-03-06,930
2018-03-07,745
2018-03-08,840
2018-03-09,755
2018-03-10,740
2018-03-11,1045
2018-03-12,815
2018-03-13,830
2018-03-14,845
2018-03-16,810
2018-03-17,901
2018-03-18,815
2018-03-19,950
2018-03-20,850
2018-03-21,735
2018-03-22,750
2018-03-23,935
2018-03-24,805
2018-03-25,855
2018-03-26,810
2018-03-27,825
2018-03-28,715
2018-03-29,1000
2018-03-30,745
2018-03-31,850
2018-04-01,910
2018-04-02,840
2018-04-03,845
2018-04-04,1030
2018-04-09,730
2018-04-10,1320
2018-04-11,915
2018-04-12,1115
2018-04-14,745
2018-04-15,1000
2018-04-16,745
2018-04-17,840
2018-04-18,850
2018-04-19,745
2018-04-20,1000
2018-04-21,845
2018-04-22,1100
2018-04-23,815
2018-04-24,745
2018-04-25,950
2018-04-28,1230
2018-04-29,1030
2018-04-30,1000
2018-05-01,745
2018-05-02,815
2018-05-03,815
2018-05-04,915
2018-05-05,900
2018-05-06,850
2018-05-08,750
2018-05-09,815
2018-05-12,1130
2018-05-14,715
2018-05-15,835
2018-05-16,905
2018-05-17,1200
2018-05-18,901
2018-05-20,1130
2018-05-21,1130
2018-05-22,901
2018-05-23,930
2018-05-24,1300
2018-05-25,1000
2018-05-27,730
2018-05-28,930
2018-05-29,810
2018-05-30,1000
2018-06-05,1100
2018-06-06,1300
2018-06-07,815
2018-06-08,1000
2018-06-09,830
2018-06-10,1300
2018-06-11,1200
2018-06-12,1400
2018-06-13,1100
2018-06-14,1100
2018-06-15,1200
2018-06-16,1130
2018-06-17,730
2018-06-19,715
2018-06-20,1000
2018-06-21,1100
2018-06-22,1115
2018-06-30,515
2018-07-01,845
2018-07-03,915
2018-07-06,930
2018-07-07,715
2018-07-08,1000
2018-07-09,620
2018-07-10,1000
